hour,yhat,recommended_staffing
0,50.15746249536969,5.0
1,52.67028075223601,5.0
2,54.972657213355035,5.0
3,57.01312588637365,6.0
4,58.7105133682995,6.0
5,59.87293978594862,6.0
6,60.27625162831436,6.0
7,59.82110738894066,6.0
8,58.61939619884348,6.0
9,56.921695207652405,6.0
10,54.94799378297158,5.0
11,52.77696204315626,5.0
12,50.39237655528388,5.0
13,47.83352986087373,5.0
14,45.29740572781736,5.0
15,43.08978189807838,4.0
16,41.46988316102464,4.0
17,40.53342669132568,4.0
18,40.235414236042764,4.0
19,40.51384815397927,4.0
20,41.37972580647858,4.0
21,42.881191688817694,4.0
22,44.9840978603446,4.0
23,47.49975081097873,5.0
